,Law,Paragraph,Text,Category
642,Resolution 188/2021 by Investment Partnerships Program Council - SOE's,"Art. 10, item I","In addition to the other restrictions provided for in the legislation, it is forbidden the individual participation in the auction of legal entity(is) who, on the date of submission of the proposal, holds a Lease Contract in the organised Ports of Vitória and Barra do Riacho.",A3
643,Resolution 188/2021 by Investment Partnerships Program Council - SOE's,"Art. 10, item II","In addition to the other restrictions provided for in the legislation, it is forbidden the individual participation in the auction of legal entity(is) who, on the date of submission of the proposal, holds an adhesion contract, located in the port complex of Espírito Santo, that uses the navigation channel of the organised Ports or that handles, for the most part, relevant cargoes to these organised ports.",A3
644,Resolution 188/2021 by Investment Partnerships Program Council - SOE's,Art. 11,"After the settlement of the auction, the winning bidder must increase CODESA's share capital, upon subscription and payment in cash of shares representing the minimum value of BRL 306 932 499.91; and 64.3 % of the goodwill of the bidder's premium.",A3
645,Normative Instrument 2102.01- SOE's - COMPANHIA DOCAS DO PARÁ - CDP,"Art. 40, item I","In the bidding procedure for the acquisition of goods, CDP may indicate brand or model, provided it is justified by the preparation of a study technical-formal.",A3
646,Normative Instrument 2102.01- SOE's - COMPANHIA DOCAS DO PARÁ - CDP,"Art. 40, item III","In the bidding procedure for the acquisition of goods, CDP may request certification of product quality or manufacturing process, including under the environmental aspect, by any competent official institution or by an accredited entity.",B3
647,Normative Instrument 2102.01- SOE's - COMPANHIA DOCAS DO PARÁ - CDP,Art. 108,"Performance guarantee may be required when contracting works, services and purchases, which must be presented in up to 15 (fifteen) consecutive days after signing the contract.",A3
648,Internal Regulation - SOE's - COMPANHIA DOCAS DO CEARÁ-  CDC,"Art. 59 item IX line ""a""",The public notice may include requirements of brand or model.,A3
649,Internal Regulation - SOE's - COMPANHIA DOCAS DO CEARÁ-  CDC,Art. 68,"When contracting with a foreign legal entity, it will be required that it has, in the country, legal representation with express powers to receive summons and respond administratively or judicially.",A3
650,Internal Regulation - SOE's - COMPANHIA DOCAS DO CEARÁ-  CDC,Art. 68,"When contracting with a foreign legal entity, it will be required that it has, in the country, legal representation with express powers to receive summons and respond administratively or judicially.",A4
651,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,"Art. 7, item XIII",The reference term must provide performance guarantee. ,A3
652,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,"Art. 7, item XIV",The term of the contract cannot exceed 5 (five) years.,A3
653,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,"Art. 99, item I","To obtain the economic qualification needed to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, already required and presented in accordance with the law, which prove the company's good financial situation. ",A3
654,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,"Art. 99, item I","To obtain the economic qualification needed to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, already required and presented in accordance with the law, which prove the company's good financial situation. ",Administrative burden
655,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,Art. 100,"In international tenders, foreign companies can meet the qualification requirements through equivalent documents, authenticated by the respective consulates and translated by a certified translator.",A3
656,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,Art. 100,"In international tenders, foreign companies can meet the qualification requirements through equivalent documents, authenticated by the respective consulates and translated by a certified translator.",Administrative burden
657,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,Art. 119,"The contracted agencies must, during the period of, at least, 5 (five) years after the termination of the contract, maintain a collection of evidence all services rendered and advertising pieces produced.",A3
658,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,Art. 130,The bidding may be restricted to pre-qualified companies.,A3
659,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO GRANDE DO NORTE- CODERN,Art. 221,Only 30% of the work may be subcontracted.,A3
660,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,"Art. 37, item I","In the bidding for the acquisition of goods, CODEBA may indicate brand or model.",A3
661,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,"Art. 37, item IV","In the bidding for acquisition of goods, CODEBA may request, exceptionally and motivated, attesting to the essentiality of the measure for contractual execution, letter of solidarity issued by the manufacturer that ensures the execution of the contract, in the case of a reseller bidder or distributor.",A3
662,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,Art. 40,"Concerning the participation of foreign companies in the proceedings bidding and contracting in which the execution of the object takes place in national territory, the notice must observe the following provisions: need for legal representation in Brazil, providing for powers express to receive summons and respond administratively or judicially.",A3
663,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,Art. 40,"Concerning the participation of foreign companies in the proceedings bidding and contracting in which the execution of the object takes place in national territory, the notice must observe the following provisions: need for legal representation in Brazil, providing for powers express to receive summons and respond administratively or judicially.",A4
664,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,"Art. 98, item V","To obtain the legal qualification needed to participate in tenders, foreign companies may be required to submit, among other documents, a proof of the authorisation decree or equivalent, in the case of a company or foreign company operating in the country, and registration or authorisation act for operation issued by the competent body when the activity thus demand.",A3
665,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,"Art. 98, item V","To obtain the legal qualification needed to participate in tenders, foreign companies may be required to submit, among other documents, a proof of the authorisation decree or equivalent, in the case of a company or foreign company operating in the country, and registration or authorisation act for operation issued by the competent body when the activity thus demand.",Administrative burden
666,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,Art. 100,"Par. 3 CODEBA, in purchases for future delivery and in the execution of works and services, may establish, in the notice, the requirement of minimum equity, as objective data for proof of qualification economic and financial aspects of the bidders and for the purpose of guaranteeing the performance of the contract to be signed at a later date.
Par. 4 The value of the net equity referred to in par. 3 may not exceed the 10% (ten percent) of the estimated value of the contract, and the proof must be made in relation to the date of submission of the proposal, in accordance with the law, allowed to update by official indexes.",A3
667,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,Art. 100,"Par. 3 CODEBA, in purchases for future delivery and in the execution of works and services, may establish, in the notice, the requirement of minimum equity, as objective data for proof of qualification economic and financial aspects of the bidders and for the purpose of guaranteeing the performance of the contract to be signed at a later date.
Par. 4 The value of the net equity referred to in par. 3 may not exceed the 10% (ten percent) of the estimated value of the contract, and the proof must be made in relation to the date of submission of the proposal, in accordance with the law, allowed to update by official indexes.",Administrative burden
668,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,Art. 177,"Performance guarantee provision may be required for the hiring of works, services and purchases.",A3
669,Internal Regulation - SOE's - COMPANHIA DOCAS DA BAHIA- CODEBA,Art. 182,The contracts will not exceed 5 (five) years.,A3
670,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,5.3.13.4.15,The public notice may establish the requirement for guarantees and insurance.,A3
671,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"5.3,5",In some cases the brand and model may be indicated.,A3
672,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,5.5.6.1,"Foreigners companies, which do not operate in the country, must be excluded from the bidding. ",A3
673,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,5.9.2.1,"To obtain the legal qualification needed to participate in tenders, foreigners companies may be required to submit, among other documents, a proof of the authorisation decree or equivalent, in the case of a company or foreign company operating in the country, and registration or authorisation act for operation issued by the competent body when the activity thus demand.              ",A3
674,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,5.9.2.1,"To obtain the legal qualification needed to participate in tenders, foreigners companies may be required to submit, among other documents, a proof of the authorisation decree or equivalent, in the case of a company or foreign company operating in the country, and registration or authorisation act for operation issued by the competent body when the activity thus demand.              ",Administrative burden
675,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"5.9,4","To obtain the economic qualification needed to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, already required and presented in accordance with the law, which prove the company's good financial situation. ",A3
676,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"5.9,4","To obtain the economic qualification needed to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, already required and presented in accordance with the law, which prove the company's good financial situation. ",Administrative burden
677,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,5.16.6.1,The CDRJ may require provision of a performance guarantee that must be renewed every contractual extension or renewal and supplemented in cases of additives and handouts for readjustments and renegotiations.,A3
678,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,5.16.10.2,Subcontracting cannot import the transfer of a parcel of the object on which the CDRJ required a certificate of technical capacity during the bidding process. Subcontracting can cover aspects accessories and instruments of such parcels.,A3
679,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art. 35 item IX line a,The public notice may include the brand or the model.,A3
680,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art. 35 item IX line d,The public notice may request a letter of solidarity issued by the manufacturer that ensures the execution of the contract.,A3
681,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,"Art. 36, item I","In tenders for the acquisition of goods, Codesp may, in some cases, indicate brand or model.",A3
682,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art. 62,"To obtain the legal qualification needed to participate in tenders, companies may be required to submit, among other documents, a proof of the authorisation decree or equivalent, in the case of a company or foreign company operating in the country, and registration or authorisation act for operation issued by the competent body when the activity thus demand.              ",A3
683,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art.66,"When the public tender allows the participation of firms in a consortium, CODESP may require an amount up to 30% more than is required for individual bidders to prove the economic and financial qualification. This increased amount must not be required to consortia only composed of SMEs. ",A3
684,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art. 134 par. 2,The bidding may be restricted to pre-qualified companies.,A3
685,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art. 198,A performance guarantee may be requested.,A3
686,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,Art. 199,The contracts will not exceed 5 (five) years.,A3
687,Law 10.233/2001- ANTAQ Creation,Art.29,"Only companies or entities constituted under Brazilian laws, with headquarters and administration in the country, and which meet the technical requirements may obtain authorisation, concession or permission to provide services and to exploit domestic transportation infrastructures by water and land, economic and legal established by the respective agency.",A3
688,Law 10.233/2001- ANTAQ Creation,Art. 30,"The transfer of ownership of the concession or permission grants is allowed, preserving its object and the contractual conditions, as long as the new holder meets the requirements of being constituted under Brazilian laws, with headquarters and administration in the country. ANTAQ must authorise it.",A1
689,Law 10.233/2001- ANTAQ Creation,Art. 30,"The transfer of ownership of the concession or permission grants is allowed, preserving its object and the contractual conditions, as long as the new holder meets the requirements of being constituted under Brazilian laws, with headquarters and administration in the country. ANTAQ must authorise it.",A3
690,Law 10.233/2001- ANTAQ Creation,Art. 30,"The transfer of ownership of the concession or permission grants is allowed, preserving its object and the contractual conditions, as long as the new holder meets the requirements of being constituted under Brazilian laws, with headquarters and administration in the country. ANTAQ must authorise it.",A4
691,Law 10.233/2001- ANTAQ Creation,Art. 34-A,"The concessions and their extensions, to be granted by ANTAQ for the exploitation of infrastructure, whether or not preceded by public buildings, may have an exclusive character as regards their object, under the terms of the public notice and the contract, and the new concessions must be preceded by a disciplined bidding in a specific regulation, approved by the ANTAQ's Board of Directors.",A1
692,Law 10.233/2001- ANTAQ Creation,Art. 34-A,"The concessions and their extensions, to be granted by ANTAQ for the exploitation of infrastructure, whether or not preceded by public buildings, may have an exclusive character as regards their object, under the terms of the public notice and the contract, and the new concessions must be preceded by a disciplined bidding in a specific regulation, approved by the ANTAQ's Board of Directors.",A3
693,Law 10.233/2001- ANTAQ Creation,Art. 35 item VI,"The concession contract must faithfully reflect the conditions of the public notice and the winning proposal and will have as essential clauses, except for the provisions of specific legislation, those relating to the guarantees to be provided by the concessionaire regarding the fulfilment of the contract, including regarding the realisation of the adjusted investments. ",A3
694,Law 10.233/2001- ANTAQ Creation,Art. 35 item VII,"The concession contract must faithfully reflect the conditions of the public notice and the winning proposal and will have as essential clauses, except for the provisions of specific legislation, relating to the tariffs.",B1
695,Resolution 3274/2014 by ANTAQ - port services,Art. 8,"The port authority may require, for port operations which imply pecuniary obligations, bank guarantee or guarantee-insurance contracted with a financial institution. ",A3
696,Resolution 3274/2014 by ANTAQ - port services,Art. 10,"The port authority shall publish port tariff tables on its website within ten days of its approval by ANTAQ with a detailed description of the port service, infrastructure and equipment placed at disposal and destined for port operations. ",B1
697,Resolution 3274/2014 by ANTAQ - port services,Art. 10,"The port authority shall publish port tariff tables on its website within ten days of its approval by ANTAQ with a detailed description of the port service, infrastructure and equipment placed at disposal and destined for port operations. ",C2
698,Resolution 3274/2014 by ANTAQ - port services,Art. 15,"In organised ports, the port operation will be carried out exclusively by a port operator pre-qualified by the port authority. ",A2
699,Normative Resolution 62/2021 (Former Normative Resolution 18/2017) by ANTAQ -Navigation Support - authorisation ,Art. 9 item II,"The users of the maritime transport must only hire waterway transport or operations and availability of maritime support navigation, port support or cabotage from a shipping company duly authorised by ANTAQ to perform the intended service and, in long-distance navigation course, in accordance with Law No. 9432 of 1997, and treaties, conventions, agreements and other international instruments ratified by Brazil.",A2
700,Normative Resolution 62/2021 (Former Normative Resolution 18/2017) by ANTAQ -Navigation Support - authorisation ,Art. 9 item II,"The users of the maritime transport must only hire waterway transport or operations and availability of maritime support navigation, port support or cabotage from a shipping company duly authorised by ANTAQ to perform the intended service and, in long-distance navigation course, in accordance with Law No. 9432 of 1997, and treaties, conventions, agreements and other international instruments ratified by Brazil.",A3
701,Normative Resolution 62/2021 (Former Normative Resolution 18/2017) by ANTAQ -Navigation Support - authorisation ,Art. 18,"The registration of the foreign maritime carrier (Non-Vessel Operating Common Carrier or NVOCC) that is not a ship operator shall be homologated by ANTAQ, by sending the data of the maritime carrier, from official sources in the country of origin, containing the name and address of the company.",A2
702,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 3,"The authorisation to operate in maritime support navigation, port support, cabotage and long distance, can only be granted to a legal entity incorporated under the Brazilian law, with headquarters and administration in the country, whose purpose is to carry out waterway transport or support in the intended navigation, and that meets the technical, economic and legal requirements.",A2
703,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 3,"The authorisation to operate in maritime support navigation, port support, cabotage and long distance, can only be granted to a legal entity incorporated under the Brazilian law, with headquarters and administration in the country, whose purpose is to carry out waterway transport or support in the intended navigation, and that meets the technical, economic and legal requirements.",A3
704,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 3,"The authorisation to operate in maritime support navigation, port support, cabotage and long distance, can only be granted to a legal entity incorporated under the Brazilian law, with headquarters and administration in the country, whose purpose is to carry out waterway transport or support in the intended navigation, and that meets the technical, economic and legal requirements.",A4 
705,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 5,"The requesting company should be the owner of at least one Brazilian flag vessel that does not is chartered naked to third parties, suitable for the intended navigation and in a condition of commercial operation; or present a charter contract for a vessel owned by an individual residing and domiciled in the country or a Brazilian legal entity, naked-hulled, adequate to the intended navigation and in a condition of commercial operation, for a period equal or greater than 1 (one) year, entered into with the vessel owner.",A2
706,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 5,"The requesting company should be the owner of at least one Brazilian flag vessel that does not is chartered naked to third parties, suitable for the intended navigation and in a condition of commercial operation; or present a charter contract for a vessel owned by an individual residing and domiciled in the country or a Brazilian legal entity, naked-hulled, adequate to the intended navigation and in a condition of commercial operation, for a period equal or greater than 1 (one) year, entered into with the vessel owner.",A3
707,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 5,"The requesting company should be the owner of at least one Brazilian flag vessel that does not is chartered naked to third parties, suitable for the intended navigation and in a condition of commercial operation; or present a charter contract for a vessel owned by an individual residing and domiciled in the country or a Brazilian legal entity, naked-hulled, adequate to the intended navigation and in a condition of commercial operation, for a period equal or greater than 1 (one) year, entered into with the vessel owner.",A4
708,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 5,"The requesting company should be the owner of at least one Brazilian flag vessel that does not is chartered naked to third parties, suitable for the intended navigation and in a condition of commercial operation; or present a charter contract for a vessel owned by an individual residing and domiciled in the country or a Brazilian legal entity, naked-hulled, adequate to the intended navigation and in a condition of commercial operation, for a period equal or greater than 1 (one) year, entered into with the vessel owner.",Administrative burden
709,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 6,"The company may obtain authorisation based on the construction or renovation of a vessel of its own Brazilian flag, suitable for the intended navigation, in a Brazilian shipyard, proven by means of an effective contract, the execution of which is scheduled in a timetable physical and financial component of the contract, starting with the first financial event, provided that the following conditions are met, in the case of construction started with the fulfilment of 10% (ten percent) of the physical and financial schedule, linked to the application of financial resources in the production of vessel, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty percent) of the production of the built vessel, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",A2
710,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 6,"The company may obtain authorisation based on the construction or renovation of a vessel of its own Brazilian flag, suitable for the intended navigation, in a Brazilian shipyard, proven by means of an effective contract, the execution of which is scheduled in a timetable physical and financial component of the contract, starting with the first financial event, provided that the following conditions are met, in the case of construction started with the fulfilment of 10% (ten percent) of the physical and financial schedule, linked to the application of financial resources in the production of vessel, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty percent) of the production of the built vessel, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",A3
711,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 6,"The company may obtain authorisation based on the construction or renovation of a vessel of its own Brazilian flag, suitable for the intended navigation, in a Brazilian shipyard, proven by means of an effective contract, the execution of which is scheduled in a timetable physical and financial component of the contract, starting with the first financial event, provided that the following conditions are met, in the case of construction started with the fulfilment of 10% (ten percent) of the physical and financial schedule, linked to the application of financial resources in the production of vessel, such as cutting plates and building blocks; at the end of the second year with at least 40% (forty percent) of the production of the built vessel, except for reasons of force majeure recognized by ANTAQ; no accumulated delay, except for reasons of force majeure recognized by ANTAQ, with a variation greater than 20% (twenty percent) of the physical and financial schedule.",A4 Administrative burden
712,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 9,The requesting company must prove to have a good economic and financial situation. It must have a minimum net worth.,A2
713,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 9,The requesting company must prove to have a good economic and financial situation. It must have a minimum net worth.,A3
714,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 11,"The Brazilian shipping company must maintain the technical, economic and financial, as well as legal and tax requirements necessary for the continuation of the authorised navigation operation.",A3
715,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 11,"The Brazilian shipping company must maintain the technical, economic and financial, as well as legal and tax requirements necessary for the continuation of the authorised navigation operation.",Administrative burden
716,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 17,"The Brazilian shipping company should keep in commercial operation, in accordance with the rules established in a specific regulation, at least one vessel in authorised navigation and, in the event of an eventual stoppage of more than 90 (ninety) continuous days, present a justification for appreciation and decision by ANTAQ.",A2
717,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 17,"The Brazilian shipping company should keep in commercial operation, in accordance with the rules established in a specific regulation, at least one vessel in authorised navigation and, in the event of an eventual stoppage of more than 90 (ninety) continuous days, present a justification for appreciation and decision by ANTAQ.",A3
718,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 21 par 2,"The price freedom does not apply to authorisation in emergency character, subjecting the Brazilian shipping company, in this case, to the price regime established by ANTAQ.",A2
719,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 21 par 2,"The price freedom does not apply to authorisation in emergency character, subjecting the Brazilian shipping company, in this case, to the price regime established by ANTAQ.",B1
720,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 22,The Brazilian shipping company duly authorised to operate in the long-distance navigation shall carry out the prior accreditation by ANTAQ for operating transportation in bilateral agreements.,A2
721,Normative Resolution 5/2016 by ANTAQ -Navigation Support - authorisation ,Art. 22,The Brazilian shipping company duly authorised to operate in the long-distance navigation shall carry out the prior accreditation by ANTAQ for operating transportation in bilateral agreements.,Administrative burden
722,Law 7652/1988- Maritime Property Registry,Art. 6,"The registration of vessel ownership will be approved, except in the cases provided for in this Law, to the individual resident and domiciled in Brazil or the public or private entity subject to Brazilian laws.",A3
723,Law 7652/1988- Maritime Property Registry,Art. 8,Foreigners who are not resident and domiciled in Brazil may be granted only a vessel classified as sport or recreational activity.,A3
724,Law 14.301/2022 - Cabotage,"Article 3, item I","In order to qualify for BR do Mar, the interested company must be authorised to operate as a Brazilian shipping company in the transport of cargo by cabotage.",A2
725,Law 14.301/2022 - Cabotage,"Article 3, item III, j","In order to qualify for BR do Mar, the interested company must be transparent in relation to the freight rates concerning their operation in Brazil.",C2
726,Law 14.301/2022 - Cabotage,"Article 5, par 1","This provision restricts time charter of vessels from its wholly-owned foreign subsidiary or from a wholly-owned foreign subsidiary of another Brazilian shipping company to operate cabotage from a navigation company authorised in BR do Mar to the following cases: I - expansion of the deadweight tonnage of owned vessels actually operating, registered in the name of the economic group to which the charter company belongs, according to the proportion to be defined in an act of the Federal Executive Branch; II - replacement of a similar type vessel under construction in the country, in the proportion of up to 200% (two hundred percent) of the deadweight tonnage of the vessel under construction, for a period of 6 (six) months, extendable for an equal period, until the limit of 36 (thirty-six) months; III - replacement of a similar type vessel under construction abroad, in the proportion of up to 100% (one hundred percent) of the deadweight tonnage of the vessel under construction, for a period of 6 (six) months, extendable for an equal period, until the limit of 36 (thirty-six) months; IV - exclusive fulfilment of long-term transport contracts, under the terms set forth in an act of the Federal Executive Branch; and V - exclusive provision of special cabotage operations, for a period of 36 (thirty-six) months, renewable for up to 12 (twelve) months, pursuant to an act of the Federal Executive Branch.",B4
727,Law 14.301/2022 - Cabotage,"Article 9, item III","The commander, cabotage master, chief engineer and chief of the machinery must be Brazilian citizens.",A3
728,Law 9432/1997- Brazilian Special Registry,Art. 4,"In Brazilian flag vessels, the commander, the chief engineer and two thirds of the crew must be Brazilian citizens.",A3
729,Law 9432/1997- Brazilian Special Registry,Art. 7,"Foreign vessels may only participate in the transport of goods in cabotage and inland navigation on a national route, as well as in port support and maritime support navigation, when chartered by Brazilian shipping companies.",A3
730,Law 9432/1997- Brazilian Special Registry,Art. 9,"The chartering of a foreign vessel by voyage or by time, to operate in inland navigation of national route or in the transport of goods in cabotage navigation or in port and maritime support navigation, as well as bare hull in port support navigation, depends on authorisation from the competent body and may only occur in the following cases:
I - when the absence or unavailability of a Brazilian-flagged vessel of the type and size suitable for the intended transport or support is verified;
II - when there is public interest, duly justified;
III - when replacing vessels under construction in the country, in a Brazilian shipyard, with a contract in force, while the construction lasts, for a maximum period of thirty-six months, up to the limit:
a) the contracted deadweight tonnage, for cargo vessels;
b) of the gross tonnage contracted, for vessels intended for support.",A2
731,Law 9432/1997- Brazilian Special Registry,Art. 9,"The chartering of a foreign vessel by voyage or by time, to operate in inland navigation of national route or in the transport of goods in cabotage navigation or in port and maritime support navigation, as well as bare hull in port support navigation, depends on authorisation from the competent body and may only occur in the following cases:
I - when the absence or unavailability of a Brazilian-flagged vessel of the type and size suitable for the intended transport or support is verified;
II - when there is public interest, duly justified;
III - when replacing vessels under construction in the country, in a Brazilian shipyard, with a contract in force, while the construction lasts, for a maximum period of thirty-six months, up to the limit:
a) the contracted deadweight tonnage, for cargo vessels;
b) of the gross tonnage contracted, for vessels intended for support.",A3
732,Law 9432/1997- Brazilian Special Registry,Art. 11,Brazilian vessels operated by Brazilian shipping companies may be registered in the Special Brazilian Registry (REB).,A2
733,Law 9432/1997- Brazilian Special Registry,Art. 11,Brazilian vessels operated by Brazilian shipping companies may be registered in the Special Brazilian Registry (REB).,A3
734,Law 9432/1997- Brazilian Special Registry,Art. 11 par 6,"On vessels registered with the REB, only the captain and chief engineer must be Brazilian citizens.",A3
735,Law 9432/1997- Brazilian Special Registry,Art. 11 par 8,Vessels registered with the REB are exempted from paying a fee for the maintenance of the Maritime Vocational Education Development Fund.,A3
736,Law 9432/1997- Brazilian Special Registry,Art. 12,The prices of fuel charged to long-haul vessels are extended to vessels operating in cabotage shipping and port and maritime support navigations.,A3
737,Decree 2.256/1997 Brazilian Special Registry,Art. 4 par 3,"To be registered with the REB, foreign vessels chartered with a bare hull must submit to the Maritime Court documents proving the provisional suspension of the flag of the vessel and a contract for bareboat charter with a Brazilian Shipping company.",A2
738,Decree 2.256/1997 Brazilian Special Registry,Art. 4 par 3,"To be registered with the REB, foreign vessels chartered with a bare hull must submit to the Maritime Court documents proving the provisional suspension of the flag of the vessel and a contract for bareboat charter with a Brazilian Shipping company.",Administrative burden
739,Decree 2.256/1997 Brazilian Special Registry,Art. 5,"Brazilian shipping companies are guaranteed to contract, in the international market, insurance and reinsurance coverage for hulls, machinery and civil liability for their vessels registered with REB, as long as the domestic market does not offer such coverage or prices compatible with the international market.",A3
740,Decree 2.256/1997 Brazilian Special Registry,Art. 6,"Freight revenue arising from the import and export of goods, carried out by vessels registered with the REB, will be excluded from the calculation bases of contributions to the PIS and the Social Security Financing-COFINS.",A3
741,Decree 2.256/1997 Brazilian Special Registry,Art. 7,"The financing to the Brazilian shipping company, through an official financial agent, to finance a vessel pre-registered with REB, will have an interest rate similar to that of the vessel for export, to be equalised by the Merchant Marine Fund. The same conditions are established for conversion, modernisation and repair.",A3
742,Decree 2.256/1997 Brazilian Special Registry,Art. 9,Brazilian shipping companies will not consider the remuneration received by the crews of vessels registered with REB in the amount that will serve as the basis for the payment of the contribution to the Development Fund for Professional Maritime Education (FDEPM).,A3
743,Decree 2.256/1997 Brazilian Special Registry,Art.10,The amount of international waterway freight resulting from transportation carried out in vessels registered with REB will not be computed in the calculation basis of taxes levied on the import and export of goods.,A3
744,Normative Resolution 13/2016 by ANTAQ - waterways transport,Art. 8,"The beginning of the operation of floating installations anchored in waters in the Brazilian jurisdiction will be subject to the issuance, by ANTAQ, of the Operation Release Term, after the fulfilment of the following steps: approval in a technical survey to be carried out through a formal request to ANTAQ; presentation of the operating license issued by the environmental agency; authorisation for operation issued by the National Petroleum Agency, Natural Gas and Biofuels - ANP, when applicable; Certificate of the Fire Department, at the time of the anchoring; and declaratory certificate about the availability of physical space in waters issued by the Secretariat of Patrimony of the Federal Executive Branch - SPU or by another entity with equivalent assignment, if applicable.",A2
