,Law,Text,Category,Category_New,text_clean
2112,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"The remuneration for the use of the areas intended for public authorities will have a certain price in proportion to the reimbursement of non-profit costs, from costs with water, electricity, cleaning, maintenance of equipment and other related costs in relation to specific instruments.",B,B,the remuner for the use of the area intend for public author will have a certain price in proport to the reimburs of non-profit cost from cost with water electr clean mainten of equip and other relat cost in relat to specif instrument
2113,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"Φ The compensation for the use of the areas intended for public bodies will have a price set proportionately to the remuneration, on a non-profit basis, for the costs of water, electricity, cleaning, maintenance of equipment and other related costs, in the form of specific instruments.",B,B,φ the compens for the use of the area intend for public bodi will have a price set proportion to the remuner on a non-profit basi for the cost of water electr clean mainten of equip and other relat cost in the form of specif instrument
2114,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"The remuneration for the use of spaces for public bodies will be proportional to the non-profit reimbursement of water, electricity, cleaning, maintenance of equipment and other related expenditure, in terms of specific instruments.",B,B,the remuner for the use of space for public bodi will be proport to the non-profit reimburs of water electr clean mainten of equip and other relat expenditur in term of specif instrument
2115,Resolution 17/2006 by National Petroleum Agency - Fuel,The authorisation request has to demonstrate the legal qualification and tax compliance; the economic and financial qualification; and the fuel storage and distribution facilities project.,A,A,the authoris request ha to demonstr the legal qualif and tax complianc the econom and financi qualif and the fuel storag and distribut facil project
2116,Ley de la Propiedad Industrial,"A person may request a compulsory license to exploit a patent that has not been exploited by the patent holder three years from the date the patent was granted, or four years after the filing of the application, whichever occurs later (Article 70 of Ley de la Propiedad Industrial).",A,A,a person may request a compulsori licens to exploit a patent that ha not been exploit by the patent holder three year from the date the patent wa grant or four year after the file of the applic whichev occur later articl of ley de la propiedad industri
2118,Resolution 17/2006 by National Petroleum Agency - Fuel,"ANP may require any other document, information or measure it deems relevant to assess the legal qualification and tax compliance; the economic and financial qualification; and the fuel storage and distribution facilities project.",A,A,anp may requir ani other document inform or measur it deem relev to ass the legal qualif and tax complianc the econom and financi qualif and the fuel storag and distribut facil project
2119,Ley de Desarrollo Rural Sustentable DOF 12-01-2012,"In particular, CIDRS can undertake actions to ensure that consumers are geographically closer to favoured producers.",A,A,in particular cidr can undertak action to ensur that consum are geograph closer to favour produc
2120,"NOM-001-ECOL- 1996, Que establece los limites máximos permisibles de contaminantes en las descargas de aguas residuales en aguas y bienes nacionales",The norm specifically states that it is not in line with international norms. The norm sets maximum limits for pollutants in national waters.,A,A,the norm specif state that it is not in line with intern norm the norm set maximum limit for pollut in nation water
2121,Ley de Productos Orgánicos DOF-07- 02-2006 Reglamento de la Ley de Productos Orgánicos DOF-01- 04.2010 Acuerdo por el que se dan a conocer los Lineamientos para la Operación Orgánica de las actividades agropecuarias DOF-29-10-2013,The latter are private firms (e.g.,A,A,the latter are privat firm e.g
2122,Regulation (RBAC) 139 by National Civil Aviation  Agency,"(d) After reviewing the request for safety equivalent level approval, ANAC may:
(1) defer equivalent level of security, as requested by the applicant or Airport Operational Certificate holder or applicant;
(2) require the petitioner to amend the application if any aircraft physical feature or operational requirement has not been
identified or adequately addressed;
(3) defer equivalent security level by imposing conditional measures to ensure operational security;
(4) reject the request, giving t",B,B,d after review the request for safeti equival level approv anac may defer equival level of secur a request by the applic or airport oper certif holder or applic requir the petition to amend the applic if ani aircraft physic featur or oper requir ha not been identifi or adequ address defer equival secur level by impos condit measur to ensur oper secur reject the request give t
2123,Regulation (RBAC) 139 by National Civil Aviation  Agency,"After examining the application for approval of equivalent level of safety, the ANAC may: (1) defer the equivalent level of safety, as requested by the applicant or the operator of the airport or applicant; (2) require the applicant to modify the application if no physical characteristics or operational requirements of the aircraft have been identified or adequately addressed; (3) defer the equivalent level of safety by imposing conditional measures to ensure operational safety; (4) reject the application, giving t",B,B,after examin the applic for approv of equival level of safeti the anac may defer the equival level of safeti a request by the applic or the oper of the airport or applic requir the applic to modifi the applic if no physic characterist or oper requir of the aircraft have been identifi or adequ address defer the equival level of safeti by impos condit measur to ensur oper safeti reject the applic give t
2124,Regulation (RBAC) 139 by National Civil Aviation  Agency,"D) Upon review of the request for approval of the equivalent level of safety, the NAAC may: (1) defer the equivalent level of safety requested by the applicant or the holder of the airport operating certificate or the applicant; (2) require the applicant to amend the application if a physical or operational requirement of the aircraft has not been identified or adequately processed; (3) defer the equivalent level of safety by imposing conditional measures to ensure operational security; (4) reject the application, giving t",B,B,d upon review of the request for approv of the equival level of safeti the naac may defer the equival level of safeti request by the applic or the holder of the airport oper certif or the applic requir the applic to amend the applic if a physic or oper requir of the aircraft ha not been identifi or adequ process defer the equival level of safeti by impos condit measur to ensur oper secur reject the applic give t
2125,Regulation (RBAC) 139 by National Civil Aviation  Agency,"(d) After reviewing the request for approval of an equivalent level of safety, the DAC may: (1) defer the equivalent level of safety, as requested by the applicant or the holder or applicant of the aerodrome operating certificate; (2) request the applicant to amend the application if any physical element or operational requirement of the aircraft has not been identified or adequately addressed; (3) defer the equivalent level of safety by imposing conditional measures to ensure operational safety; (4) reject the request, following the request to",B,B,d after review the request for approv of an equival level of safeti the dac may defer the equival level of safeti a request by the applic or the holder or applic of the aerodrom oper certif request the applic to amend the applic if ani physic element or oper requir of the aircraft ha not been identifi or adequ address defer the equival level of safeti by impos condit measur to ensur oper safeti reject the request follow the request to
2126,Regulation (RBAC) 139 by National Civil Aviation  Agency,"After reviewing the request for equal safety levels, ANAC may: (1) delay the equivalent of security levels, as requested by applicants or Airport Operations Certificates; (2) require applicants to change applications if there are physical features or operational requirements of the aircraft have not been identified or handled; (3) delay security levels equivalent to urgent measures to ensure operational security; (4) Reject the request, give t",B,B,after review the request for equal safeti level anac may delay the equival of secur level a request by applic or airport oper certif requir applic to chang applic if there are physic featur or oper requir of the aircraft have not been identifi or handl delay secur level equival to urgent measur to ensur oper secur reject the request give t
2127,Regulation (RBAC) 139 by National Civil Aviation  Agency,"(d) following examination of an application for an equivalent level of safety approval, NAC may: (1) postpone an equivalent level of safety as required by the applicant or the holder of an airport certificate or applicant; (2) require the applicant to change the application unless any physical element of the aircraft or operational requirement has been identified or adequately addressed; (3) postpone an equivalent level of safety by imposing conditional measures to ensure operational safety; (4) reject the application, whereby t",B,B,d follow examin of an applic for an equival level of safeti approv nac may postpon an equival level of safeti a requir by the applic or the holder of an airport certif or applic requir the applic to chang the applic unless ani physic element of the aircraft or oper requir ha been identifi or adequ address postpon an equival level of safeti by impos condit measur to ensur oper safeti reject the applic wherebi t
2128,Law 7565/1986 - Brazilian Aeronautical Code,"Crew members are duly qualified people who exercise their functions aboard aircrafts. The remunerated function on board aircraft, domestic or foreign, when operated by a Brazilian company in the exchange format, is exclusive to holders of specific licenses issued by the Brazilian civil aviation authority and reserved to native or naturalized Brazilians.",A,A,crew member are duli qualifi peopl who exercis their function aboard aircraft the remuner function on board aircraft domest or foreign when oper by a brazilian compani in the exchang format is exclus to holder of specif licens issu by the brazilian civil aviat author and reserv to nativ or natur brazilian
2129,Resolution 1274/2009 by ANTAQ - Inland Navigation,"Only the authorised Brazilian Shipping Company can provide passenger transport services, vehicles and cargoes for inland navigation.",A,A,onli the authoris brazilian ship compani can provid passeng transport servic vehicl and cargo for inland navig
2130,Law 13475/2017 - Aeronaut profession,"An aircraft operator can authorise its instructors to provide instruction for crew members to whom the company is not bound by an employment contract, if the employer of the latter do not have equipment or instructors for that goal, and only for the period of instruction. ANAC must authorise it.",A,A,an aircraft oper can authoris it instructor to provid instruct for crew member to whom the compani is not bound by an employ contract if the employ of the latter do not have equip or instructor for that goal and onli for the period of instruct anac must authoris it
2131,Regulation (RBAC) 141/2019 by National Civil Aviation Agency – Civil aviation schools,"If the civil aviation instruction centre (CIAC) provides practical flight training, an authorisation by ANAC is required.",A,A,if the civil aviat instruct centr ciac provid practic flight train an authoris by anac is requir
2132,Normative Resolution 61/2021 (Former Normative Resolution 32/2019 by ANTAQ) - Tax for Port Administration,"The tariff modalities are organised in the from of tariff groups and will be standardised in the terms of the legislation, observing the deadlines mentioned in the legislation.",B,B,the tariff modal are organis in the from of tariff group and will be standardis in the term of the legisl observ the deadlin mention in the legisl
2133,Normative Resolution 61/2021 (Former Normative Resolution 32/2019 by ANTAQ) - Tax for Port Administration,"The dance capitality is organized from dance groups and will be standardized in legal terms, observing the deadline mentioned in the law.",B,B,the danc capit is organ from danc group and will be standard in legal term observ the deadlin mention in the law
2134,Normative Resolution 61/2021 (Former Normative Resolution 32/2019 by ANTAQ) - Tax for Port Administration,"The tariff modalities are regulated from tariff sets and will be consolidated in accordance with legislation, taking into account the deadlines mentioned in the legislation.",B,B,the tariff modal are regul from tariff set and will be consolid in accord with legisl take into account the deadlin mention in the legisl
2135,Normative Resolution 61/2021 (Former Normative Resolution 32/2019 by ANTAQ) - Tax for Port Administration,:: Tariffs are based on tariff groups and will be standardized in accordance with the legislation in accordance with the time limits mentioned in the legislation.,B,B,tariff are base on tariff group and will be standard in accord with the legisl in accord with the time limit mention in the legisl
2136,Normative Resolution 61/2021 (Former Normative Resolution 32/2019 by ANTAQ) - Tax for Port Administration,"The tariff arrangements are organised in the form of tariff groups and will be standardised in the legislation, respecting the time limits laid down in the legislation.",B,B,the tariff arrang are organis in the form of tariff group and will be standardis in the legisl respect the time limit laid down in the legisl
2137,Normative Resolution 61/2021 (Former Normative Resolution 32/2019 by ANTAQ) - Tax for Port Administration,The tariff arrangements are organised in the tariff groups and are harmonised in the legislation in accordance with the deadlines set out in the legislation.,B,B,the tariff arrang are organis in the tariff group and are harmonis in the legisl in accord with the deadlin set out in the legisl
2138,Law 8.666/1993 - General Procurement Act,"In tenders, micro and small companies must have a differentiated and favoured treatment.",A,A,in tender micro and small compani must have a differenti and favour treatment
2139,Resolution 338/2014 by National Civil Aviation Agency - Slots allocation,"The criteria for slot allocation arising from new requests are: I - the continuation of the previous subsequent season; and, lastly, II - new operations.",A,A,the criterion for slot alloc aris from new request are i the continu of the previou subsequ season and lastli ii new oper
2140,Ley General de Salud,"The generic name (or International Nonproprietary Name, INN, as defined by the WHO, a unique name that is globally recognised and public property) is mandatory.",A,A,the gener name or intern nonproprietari name inn a defin by the who a uniqu name that is global recognis and public properti is mandatori
2141,Resolution 440/2017 by National Civil Aviation Agency - Register,"In addition to the capacities referred to in art. 7 of this Resolution, the airport operator shall publish and keep updated the list of allocated services and the available capacity for the allocation of services.",None,None,in addit to the capac refer to in art of thi resolut the airport oper shall publish and keep updat the list of alloc servic and the avail capac for the alloc of servic
2142,Law 13303/2016 - Law of SOEs, and when assessing offers.,B,B,and when ass offer
2143,Law 13303/2016 - Law of SOEs,A in the assessment of tenders.,B,B,a in the ass of tender
2144,Law 13303/2016 - Law of SOEs,~ ~ and when assessing tenders.,B,B,and when ass tender
2145,Law 13303/2016 - Law of SOEs,. Evaluation of offers.,B,B,evalu of offer
2146,Law 13303/2016 - Law of SOEs,""" Yes, and in assessing the bids.",B,B,`` ye and in ass the bid
2147,Law 13303/2016 - Law of SOEs,And when evaluating offers.,B,B,and when evalu offer
2148,Regulation (RBAC) 61/2012 by National Civil Aviation Agency - Pilot licences,"In addition, for commercial pilot, one must pass a theoretical course homologated by ANAC.",A,A,in addit for commerci pilot one must pas a theoret cours homolog by anac
2149,Decree 92319/1986 - Foreign air transport companies,"A prior authorisation is also required  for the setting up of agencies, branches or subsidiaries of foreign companies that do not operate flights to Brazil. ",B,B,a prior authoris is also requir for the set up of agenc branch or subsidiari of foreign compani that do not oper flight to brazil
2150,Decree 92319/1986 - Foreign air transport companies,"A prior authorisation is also required for the establishment of agencies, branches or subsidiaries of foreign companies that do not operate flights to Brazil.",B,B,a prior authoris is also requir for the establish of agenc branch or subsidiari of foreign compani that do not oper flight to brazil
2151,Decree 92319/1986 - Foreign air transport companies,"A prior authorization is also required for the establishment of agencies, branches or subsidiaries of foreign companies that do not operate flights to Brazil.",B,B,a prior author is also requir for the establish of agenc branch or subsidiari of foreign compani that do not oper flight to brazil
2152,Decree 92319/1986 - Foreign air transport companies,". Prior authorisation is also required for the establishment of offices, branches or subsidiaries of foreign companies that do not operate in Brazil.",B,B,prior authoris is also requir for the establish of offic branch or subsidiari of foreign compani that do not oper in brazil
2154,Decree 92319/1986 - Foreign air transport companies,"The establishment of agencies, branches or subsidiaries of foreign companies which do not operate to Brazil also requires prior authorisation.",B,B,the establish of agenc branch or subsidiari of foreign compani which do not oper to brazil also requir prior authoris
2157,Law 7565/1986 - Brazilian Aeronautical Code,"The person carried must abide by the legal rules contained in the ticket or posted in plain view of the users, refraining from acts that cause inconvenience or injury to passengers, damage the aircraft, impede or hinder the normal execution of the service.",None,None,the person carri must abid by the legal rule contain in the ticket or post in plain view of the user refrain from act that caus inconveni or injuri to passeng damag the aircraft imped or hinder the normal execut of the servic
2158,Law 7565/1986 - Brazilian Aeronautical Code,There will be no remuneration: if help is refused or lacks useful results; when the rescue is provided by public aircraft.,None,None,there will be no remuner if help is refus or lack use result when the rescu is provid by public aircraft
2159,Resolution 116/2009 by National Civil Aviation Agency - Aircraft Ground Handling,"Aircraft Ground Handling can be provided directly by the airport operator; by the air carrier (only for its aircrafts or the aircrafts of a third air carrier, when they operate codeshare flights); or by a third company. In the latter case, the company must not provide services not regulated by ANAC (except fuel supply).",A,A,aircraft ground handl can be provid directli by the airport oper by the air carrier onli for it aircraft or the aircraft of a third air carrier when they oper codeshar flight or by a third compani in the latter case the compani must not provid servic not regul by anac except fuel suppli
2160,Law 7565/1986 - Brazilian Aeronautical Code,"The fiduciary alienation in guarantee transfers to the creditor the resolvable domain and the indirect possession of the aircraft or its equipment, regardless of the respective tradition, the debtor becoming the direct possessor and depositary with all the responsibilities and charges incumbent upon him according to the civil and criminal law.",None,None,the fiduciari alien in guarante transfer to the creditor the resolv domain and the indirect posse of the aircraft or it equip regardless of the respect tradit the debtor becom the direct possessor and depositari with all the respons and charg incumb upon him accord to the civil and crimin law
2161,Reglamento de Insumos para la Salud,"The Mexican producer has to cover those costs, including fees (MXN 84 080.88 for every visit to foreign suppliers; see, Article 195-A of the Ley Federal de Derechos), and travel expenses (the visits last at least 5 days and more if more than one ingredient is involved).",A,A,the mexican produc ha to cover those cost includ fee mxn 080.88 for everi visit to foreign supplier see articl 195-a of the ley feder de derecho and travel expens the visit last at least day and more if more than one ingredi is involv
2162,Law 7565/1986 - Brazilian Aeronautical Code,"The mortgage contract must contain I - the name and domicile of the contracting parties; II - the amount of the guaranteed debt, the respective interest and other legal consequences, the term and place of payment; III - the nationality and registration marks of the aircraft, as well as the serial numbers of its component parts; IV - the insurance that guarantees the mortgaged property.",None,None,the mortgag contract must contain i the name and domicil of the contract parti ii the amount of the guarante debt the respect interest and other legal consequ the term and place of payment iii the nation and registr mark of the aircraft a well a the serial number of it compon part iv the insur that guarante the mortgag properti
2163,Law 12.815/2013 - Law of Ports,Port workers can register and work in public ports only if they have been trained by OGMO or by and entity appointed by them.,A,A,port worker can regist and work in public port onli if they have been train by ogmo or by and entiti appoint by them
2165,Law 7565/1986 - Brazilian Aeronautical Code,"Damage resulting from overflight, emergency landing, or the throwing of objects or dumping may give rise to liability.",None,None,damag result from overflight emerg land or the throw of object or dump may give rise to liabil
2166,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,"In case of increasing tariffs above the price cap, the concessionaire must consult in advance the stakeholders.",B,B,in case of increas tariff abov the price cap the concessionair must consult in advanc the stakehold
2167,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,"In the event of an increase in rates above the price cap, the concessionaire must consult stakeholders in advance.",B,B,in the event of an increas in rate abov the price cap the concessionair must consult stakehold in advanc
2168,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,"In the event of an increase in tariffs above the price ceiling, the acquirer shall consult stakeholders in advance.",B,B,in the event of an increas in tariff abov the price ceil the acquir shall consult stakehold in advanc
2169,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,"In the case of increased rates above the price cap, concessions had to consult in the face of shareholders.",B,B,in the case of increas rate abov the price cap concess had to consult in the face of sharehold
2170,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,"In the case of tariff increases above the price limit, the concessionaire should consult with the parties concerned in advance.",B,B,in the case of tariff increas abov the price limit the concessionair should consult with the parti concern in advanc
2171,Concession Contract - Salvador - Deputado Luís Eduardo Magalhães Airport,"In the event of an increase in rates above the price limit, the concessionaire must consult interested parties in advance.",B,B,in the event of an increas in rate abov the price limit the concessionair must consult interest parti in advanc
2174,Regulation (RBAC) 139 by National Civil Aviation  Agency,"Failure to fully comply with the minimum infrastructure and operational safety elements will require prior ANAC review and approval of the risk management and operational safety assurance process. (i) the ANAC may require the establishment of a CAC, containing actions and deadlines for compliance with additional measures to eliminate or mitigate the identified risks.",B,B,failur to fulli compli with the minimum infrastructur and oper safeti element will requir prior anac review and approv of the risk manag and oper safeti assur process i the anac may requir the establish of a cac contain action and deadlin for complianc with addit measur to elimin or mitig the identifi risk
2175,Regulation (RBAC) 139 by National Civil Aviation  Agency,(i) ANAC may require the establishment of a CAC with actions and deadlines to eliminate or mitigate the risks identified for compliance with additional measures.,B,B,i anac may requir the establish of a cac with action and deadlin to elimin or mitig the risk identifi for complianc with addit measur
2176,Regulation (RBAC) 139 by National Civil Aviation  Agency,"The non-compliance with the minimum infrastructure and operational security elements will require a prior review of the ANAC and approval of the risk management and operational security assurance process. (i) The ANAC may require the establishment of a CAC, containing actions and deadlines for compliance with additional measures to eliminate or mitigate identified risks.",B,B,the non-compli with the minimum infrastructur and oper secur element will requir a prior review of the anac and approv of the risk manag and oper secur assur process i the anac may requir the establish of a cac contain action and deadlin for complianc with addit measur to elimin or mitig identifi risk
2177,Regulation (RBAC) 139 by National Civil Aviation  Agency,(i) ANAC may require the creation of a CAC containing measures and deadlines to comply with additional measures to eliminate or mitigate identified risks.,B,B,i anac may requir the creation of a cac contain measur and deadlin to compli with addit measur to elimin or mitig identifi risk
2178,Regulation (RBAC) 139 by National Civil Aviation  Agency,"CAC may require the establishment of a CAC, containing actions and deadlines for compliance with additional measures to eliminate or mitigate identified risks.",B,B,cac may requir the establish of a cac contain action and deadlin for complianc with addit measur to elimin or mitig identifi risk
2179,Regulation (RBAC) 139 by National Civil Aviation  Agency,"A CACT (i) may need to be set up, which may need to take other steps to end tasks and the deadc or take steps to end them.",B,B,a cact i may need to be set up which may need to take other step to end task and the deadc or take step to end them
2180,Law 7565/1986 - Brazilian Aeronautical Code,"In public aerodromes, if the operator does not timely arrange for the removal of the aircraft or its debris, the aerodrome administration will be responsible for doing so, and the operator will be liable for the compensation of the expenses.",None,None,in public aerodrom if the oper doe not time arrang for the remov of the aircraft or it debri the aerodrom administr will be respons for do so and the oper will be liabl for the compens of the expens
2181,Internal Regulation - SOE's - COMPANHIA DOCAS DE SÃO PAULO - CODESP,A performance guarantee may be requested.,A,A,a perform guarante may be request
2184,Law 7565/1986 - Brazilian Aeronautical Code,"In case of aeronautical accident, aeronautical incident or ground occurrence with civil aircraft, the Sipaer investigation authority will have priority in boarding Brazilian civil aircraft employed in public air transport.",None,None,in case of aeronaut accid aeronaut incid or ground occurr with civil aircraft the sipaer investig author will have prioriti in board brazilian civil aircraft employ in public air transport
2185,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,"7,565, as applicable, and the following order of priority: I - companies operating non-scheduled public air transport services; II - companies operating services ancillary to air transport and aircraft fuelling; and III - other service providers and individuals.",None,None,"7,565 a applic and the follow order of prioriti i compani oper non-schedul public air transport servic ii compani oper servic ancillari to air transport and aircraft fuell and iii other servic provid and individu"
2186,Decree 7624/2011 - Airport concession,"In the concession contracts, the clauses established in art. 23 of Law nº 8.987, of February 13, 1995, and in art. 5 of Law nº 11.079, of December 30, 2004, will be included, whenever applicable, besides clauses related to the destination of alternative, complementary, accessory, or associated project revenues, with or without exclusivity;",None,None,in the concess contract the claus establish in art of law nº 8.987 of februari and in art of law nº 11.079 of decemb will be includ whenev applic besid claus relat to the destin of altern complementari accessori or associ project revenu with or without exclus
2187,Law 13303/2016 - Law of SOEs, and when assessing offers.,A,A,and when ass offer
2188,Law 5862/1972 - Infraero,"V - prepare program-budgets of its activities and analyze those presented by its subsidiaries, making them compatible with its own, considering the administration, maintenance and new investment charges, and forward them to the Ministry of Aeronautics, to justify the use of resources from the Aeronautical Fund;",None,None,v prepar program-budget of it activ and analyz those present by it subsidiari make them compat with it own consid the administr mainten and new invest charg and forward them to the ministri of aeronaut to justifi the use of resourc from the aeronaut fund
2189,Ley Federal de Sanidad Animal DOF-07-06-2012 Reglamento de la Ley Federal de Sanidad Animal,"Issuance of this certificate depends on compliance with a number of technical requirements (e.g.campaigns, quarantine, contamination risks, national emergency system, animal welfare and national epidemiologic vigilance system), which are listed and described in detail in Articles 110 and 111 of the Reglamento de la Lev Federal de Sanidad Animal.",A,A,issuanc of thi certif depend on complianc with a number of technic requir e.g.campaign quarantin contamin risk nation emerg system anim welfar and nation epidemiolog vigil system which are list and describ in detail in articl and of the reglamento de la lev feder de sanidad anim
2190,Normative resolution 01/2015 by ANTAQ  - cargo,"untry, in Brazilian shipyard, with an effective contract, while the construction lasts, until the limit of the gross tonnage contracted, in the modality by time, whose authorisation will be for a minimum period of 6 (six) months and a maximum accumulated period of 36 (thirty six) months, or in the bareboat modality, with no minimum term limitation.",A,A,untri in brazilian shipyard with an effect contract while the construct last until the limit of the gross tonnag contract in the modal by time whose authoris will be for a minimum period of six month and a maximum accumul period of thirti six month or in the bareboat modal with no minimum term limit
2191,Decreto por el que se establece la Ventanilla Digital Mexicana de Comercio Exterior DOF 14-01-2011,"Article 22 of the decree establishes that the development and management of VUCEM, once implemented, will fall within the responsibility of the Tax Administration Service Servicio de Administración Tributaria.",A,A,articl of the decre establish that the develop and manag of vucem onc implement will fall within the respons of the tax administr servic servicio de administración tributaria
2192,Law 7565/1986 - Brazilian Aeronautical Code,"The public aircraft are those destined for the service of the Public Authorities, including those requisitioned as provided in law; all others are private aircraft.",None,None,the public aircraft are those destin for the servic of the public author includ those requisit a provid in law all other are privat aircraft
2193,Law 7565/1986 - Brazilian Aeronautical Code,"The Captain will record, in the Log Book, the births and deaths that occur during the voyage, and will extract a copy for all legal purposes.",None,None,the captain will record in the log book the birth and death that occur dure the voyag and will extract a copi for all legal purpos
2194,Law 13.319/2016 - Airport Tariff,"Art. 2 of Law nº 5.862, of December 12, 1972 , comes into effect with the following wording:",None,None,art of law nº 5.862 of decemb come into effect with the follow word
2195,"NOM-164-SSA1-2015, Buenas prácticas de fabricación de fármacos.",The NOM on good practices for manufacturing medicines expressly states that it is only partially in line with international norms.,A,A,the nom on good practic for manufactur medicin expressli state that it is onli partial in line with intern norm
2196,Law 7565/1986 - Brazilian Aeronautical Code,"The programs of education development and training of civilian personnel linked to aeronautical infrastructure include the training, improvement and specialization of technicians for all elements indispensable, immediately or mediately, to air navigation, including the manufacture, overhaul and maintenance of aeronautical products or related to the protection of the (omission of the Official Gazette).",None,None,the program of educ develop and train of civilian personnel link to aeronaut infrastructur includ the train improv and special of technician for all element indispens immedi or mediat to air navig includ the manufactur overhaul and mainten of aeronaut product or relat to the protect of the omiss of the offici gazett
2197,Law 7565/1986 - Brazilian Aeronautical Code,"The consignor may bring an action against the first carrier and against the one who performed the transportation during which the damage occurred, and the consignee against the latter and against the last carrier. Sole paragraph. There is solidarity between the carriers responsible before, respectively, the sender and the recipient.",None,None,the consignor may bring an action against the first carrier and against the one who perform the transport dure which the damag occur and the consigne against the latter and against the last carrier sole paragraph there is solidar between the carrier respons befor respect the sender and the recipi
2198,Law 7565/1986 - Brazilian Aeronautical Code,"When the cargo arrives at the place of destination, the carrier must notify the consignee to pick it up within 15 (fifteen) days as of the notice, unless another term is established in the bill of lading.",None,None,when the cargo arriv at the place of destin the carrier must notifi the consigne to pick it up within fifteen day a of the notic unless anoth term is establish in the bill of lade
2199,INFRAERO's Internal Bidding and Contract Regulation,The tender notice may exclude non-prequalified bidders from bids.,A,A,the tender notic may exclud non-prequalifi bidder from bid
2200,Resolution 17/2006 by National Petroleum Agency - Fuel,"ANP may require any other document, information or measure it deems relevant to the process of issuing the authorisation.",A,A,anp may requir ani other document inform or measur it deem relev to the process of issu the authoris
2201,Regulation (RBAC) 139 by National Civil Aviation  Agency,"In reviewing the request for safety equivalent level approval, ANAC will evaluate the following aspects:
(1) coordination among stakeholders, including:
(i) aerodrome operator;
(ii) aircraft operator;
(iii) ATS organ;
(iv) service providers that operate at the airport site;
(v) public authorities;
(2) identification of aircraft physical characteristics and operational requirements that impact airport infrastructure,
including the following physical characteristics of the airfield:
(i) length of ",B,B,in review the request for safeti equival level approv anac will evalu the follow aspect coordin among stakehold includ i aerodrom oper ii aircraft oper iii at organ iv servic provid that oper at the airport site v public author identif of aircraft physic characterist and oper requir that impact airport infrastructur includ the follow physic characterist of the airfield i length of
2202,Regulation (RBAC) 139 by National Civil Aviation  Agency,"In considering the request for approval of an equivalent level of security, ANAQ will assess the following aspects: (1) coordination among stakeholders, including: (i) aircraft operator; (ii) aircraft operator; (iii) ATS authority; (iv) service providers operating at the airport facility; (v) public authorities; (2) identification of the physical characteristics of aircraft and operational requirements affecting the airport infrastructure, including the following physical characteristics of the airport:",B,B,in consid the request for approv of an equival level of secur anaq will ass the follow aspect coordin among stakehold includ i aircraft oper ii aircraft oper iii at author iv servic provid oper at the airport facil v public author identif of the physic characterist of aircraft and oper requir affect the airport infrastructur includ the follow physic characterist of the airport
2203,Regulation (RBAC) 139 by National Civil Aviation  Agency,"In assessing the request for approval at the safety equivalent level, NAC will evaluate the following aspects: (1) coordination between stakeholders, including: (i) aerodrome operator; (ii) aircraft operator; (iii) ATS body; (iv) service providers operating at the airport location; (v) public authorities; (2) identification of the physical characteristics of aircraft and operational requirements affecting the airport infrastructure, including the following physical characteristics of the airport: (i) length of:",B,B,in ass the request for approv at the safeti equival level nac will evalu the follow aspect coordin between stakehold includ i aerodrom oper ii aircraft oper iii at bodi iv servic provid oper at the airport locat v public author identif of the physic characterist of aircraft and oper requir affect the airport infrastructur includ the follow physic characterist of the airport i length of
2204,Regulation (RBAC) 139 by National Civil Aviation  Agency,"When examining the request for approval of an equivalent level of safety, ANAC will evaluate the following aspects: (1) coordination between interested parties, including (i) airport operator; (ii) aircraft operator; (iii) ATS body; (iv) service providers operating at the airport; (v) public authorities; (2) identification of the physical characteristics of aircraft and operational requirements affecting the airport infrastructure, including the following physical characteristics of the airfield: (i) length of:",B,B,when examin the request for approv of an equival level of safeti anac will evalu the follow aspect coordin between interest parti includ i airport oper ii aircraft oper iii at bodi iv servic provid oper at the airport v public author identif of the physic characterist of aircraft and oper requir affect the airport infrastructur includ the follow physic characterist of the airfield i length of
2205,Regulation (RBAC) 139 by National Civil Aviation  Agency,"In examining the request for approval of equivalent level of safety, the ANAC shall assess the following aspects: (1) coordination between the interested parties, in particular: (i) aerodrome operator; (ii) aircraft operator; (iii) ATS body; (iv) service providers operating at the airport site; (v) public authorities; (2) identification of the physical characteristics of aircraft and operational requirements affecting the airport infrastructure, including the following physical characteristics of the aerodrome: (i) aerodrome length",B,B,in examin the request for approv of equival level of safeti the anac shall ass the follow aspect coordin between the interest parti in particular i aerodrom oper ii aircraft oper iii at bodi iv servic provid oper at the airport site v public author identif of the physic characterist of aircraft and oper requir affect the airport infrastructur includ the follow physic characterist of the aerodrom i aerodrom length
