,Unnamed: 0,Law,Paragraph,Text,Category,text_clean
988,988,Law 7565/1986 - Brazilian Aeronautical Code,Art. 88-R par 6,"For the assessment of compliance with the term for expression of interest and the order of preference, the date of entry of the judicial request in the protocol of the Sipaer investigation authority will be considered.",None,for the ass of complianc with the term for express of interest and the order of prefer the date of entri of the judici request in the protocol of the sipaer investig author will be consid
989,989,Law 7565/1986 - Brazilian Aeronautical Code,Art. 90,"Whenever the airport emergency services are called for help, the cost of the resulting expenses will be indemnified by the operator of the rescued aircraft.",None,whenev the airport emerg servic are call for help the cost of the result expens will be indemnifi by the oper of the rescu aircraft
990,990,Law 7565/1986 - Brazilian Aeronautical Code,Art. 93,"The correspondence carried by crashed aircraft must be delivered, as soon as possible, to the entity responsible for the postal service, which will make the appropriate communication to the nearest customs authority, in the case of international postal consignments.",None,the correspond carri by crash aircraft must be deliv a soon a possibl to the entiti respons for the postal servic which will make the appropri commun to the nearest custom author in the case of intern postal consign
991,991,Law 7565/1986 - Brazilian Aeronautical Code,Art. 94,"The air transport facilitation system, linked to the Ministry of Aeronautics, has the objective of studying the pertinent norms and recommendations of the International Civil Aviation Organization - ICAO and propose to the interested bodies the appropriate measures to implement them in the country, evaluating the results and suggesting the necessary changes for the improvement of air services.",None,the air transport facilit system link to the ministri of aeronaut ha the object of studi the pertin norm and recommend of the intern civil aviat organ icao and propos to the interest bodi the appropri measur to implement them in the countri evalu the result and suggest the necessari chang for the improv of air servic
992,992,Law 7565/1986 - Brazilian Aeronautical Code,Art. 95,"The Executive Branch shall institute and regulate a commission with the following objectives: I - to advise the governmental bodies, relative to the security policy and criteria; and II - promote coordination between: a) the passenger control services; b) the airport administration; (Included by Law No. 14,047, of 2020)
c) policing; d) the air transport companies; and e) the auxiliary service companies. ",None,"the execut branch shall institut and regul a commiss with the follow object i to advis the government bodi rel to the secur polici and criterion and ii promot coordin between a the passeng control servic b the airport administr includ by law no 14,047 of c polic d the air transport compani and e the auxiliari servic compani"
993,993,Law 7565/1986 - Brazilian Aeronautical Code,Art. 95 par 2,It is also up to the commission mentioned in the caput of this article to propose guidelines to prevent and confront threats and acts against civil aviation and related facilities.,None,it is also up to the commiss mention in the caput of thi articl to propos guidelin to prevent and confront threat and act against civil aviat and relat facil
994,994,Law 7565/1986 - Brazilian Aeronautical Code,Art. 96,"The Executive Branch will regulate the civil air transport coordination system body, in order to: I - propose measures aiming at: a) ensure the harmonious development of air transport, in the context of specific technical and economic-financial programs; b) to monitor and supervise the execution of these programs. II - appreciate, under the technical-aeronautical and economic-financial aspects, the requests for importation and exportation of civil aircraft and propose instructions for the incentive of the national industry of aerospace nature.",None,the execut branch will regul the civil air transport coordin system bodi in order to i propos measur aim at a ensur the harmoni develop of air transport in the context of specif technic and economic-financi program b to monitor and supervis the execut of these program ii appreci under the technical-aeronaut and economic-financi aspect the request for import and export of civil aircraft and propos instruct for the incent of the nation industri of aerospac natur
995,995,Law 7565/1986 - Brazilian Aeronautical Code,Art. 97,"An Aeroclub is any civil society with its own assets and administration, with local and regional services, whose main objectives are the teaching and practice of civil aviation, tourism and sports in all its modalities, and may carry out emergency missions or missions of notorious interest to the community.",None,an aeroclub is ani civil societi with it own asset and administr with local and region servic whose main object are the teach and practic of civil aviat tourism and sport in all it modal and may carri out emerg mission or mission of notori interest to the commun
996,996,Law 7565/1986 - Brazilian Aeronautical Code,Art. 97 par 1,The air services provided by aeroclubs include the activities of: I - teaching and training of flight personnel; II - education and training of aeronautical infrastructure personnel; III - recreation and sports.,None,the air servic provid by aeroclub includ the activ of i teach and train of flight personnel ii educ and train of aeronaut infrastructur personnel iii recreat and sport
997,997,Law 7565/1986 - Brazilian Aeronautical Code,Art. 97 par 2,"The aeroclubs and other similar entities, once authorized to operate, are considered of public utility.",None,the aeroclub and other similar entiti onc author to oper are consid of public util
998,998,Law 7565/1986 - Brazilian Aeronautical Code,Art. 99-A,The formation and training of civil aviation personnel will obey the regulations edited by the aeronautical authority.,None,the format and train of civil aviat personnel will obey the regul edit by the aeronaut author
999,999,Law 7565/1986 - Brazilian Aeronautical Code,Art. 100,"The programs of education development and training of civilian personnel linked to aeronautical infrastructure include the training, improvement and specialization of technicians for all elements indispensable, immediately or mediately, to air navigation, including the manufacture, overhaul and maintenance of aeronautical products or related to the protection of the (omission of the Official Gazette). The aeronautical authority is responsible for issuing licenses or certificates to air traffic controllers and other professionals from the various sectors of activities related to air navigation and aeronautical infrastructure.",None,the program of educ develop and train of civilian personnel link to aeronaut infrastructur includ the train improv and special of technician for all element indispens immedi or mediat to air navig includ the manufactur overhaul and mainten of aeronaut product or relat to the protect of the omiss of the offici gazett the aeronaut author is respons for issu licens or certif to air traffic control and other profession from the variou sector of activ relat to air navig and aeronaut infrastructur
1000,1000,Law 7565/1986 - Brazilian Aeronautical Code,Art. 101,"The aeronautical industry, consisting of companies that manufacture, overhaul, repair and maintain aeronautical products or products related to flight protection, depends on registration and homologation (articles 66 to 71).",None,the aeronaut industri consist of compani that manufactur overhaul repair and maintain aeronaut product or product relat to flight protect depend on registr and homolog articl to
1001,1001,Law 7565/1986 - Brazilian Aeronautical Code,Art. 102,"Auxiliary services, related to air navigation or aeronautical infrastructure, will be those defined as follows by the aeronautical authority.",None,auxiliari servic relat to air navig or aeronaut infrastructur will be those defin a follow by the aeronaut author
1002,1002,Law 7565/1986 - Brazilian Aeronautical Code,Art. 103,The customs control services at international airports will be executed in accordance with specific law.,None,the custom control servic at intern airport will be execut in accord with specif law
1003,1003,Law 7565/1986 - Brazilian Aeronautical Code,Art. 104,"All ground equipment and services used to serve aircraft, passengers, baggage and cargo are the responsibility of the carriers or autonomous auxiliary service providers.",None,all ground equip and servic use to serv aircraft passeng baggag and cargo are the respons of the carrier or autonom auxiliari servic provid
1004,1004,Law 7565/1986 - Brazilian Aeronautical Code,Art. 105,An organ or Commission may be installed with the purpose of I - promote the integrated planning of the aeronautical infrastructure and its harmonization with the economicfinancial possibilities of the country; II - coordinate the various systems or subsystems; III - study and propose the appropriate measures for the harmonic functioning of the various systems or subsystems; IV - to coordinate the various registrations and homologations required by law.,None,an organ or commiss may be instal with the purpos of i promot the integr plan of the aeronaut infrastructur and it harmon with the economicfinanci possibl of the countri ii coordin the variou system or subsystem iii studi and propos the appropri measur for the harmon function of the variou system or subsystem iv to coordin the variou registr and homolog requir by law
1005,1005,Law 7565/1986 - Brazilian Aeronautical Code,Art. 106 par 1,"Aircraft are considered to be any maneuverable device in flight, that can sustain itself and circulate in the airspace, by means of aerodynamic reactions, capable of transporting people or things. The aircraft is a movable property that can be registered for the purposes of nationality, registration, airworthiness, transference by act among living persons, constitution of mortgage, publicity and general registration.",None,aircraft are consid to be ani maneuver devic in flight that can sustain itself and circul in the airspac by mean of aerodynam reaction capabl of transport peopl or thing the aircraft is a movabl properti that can be regist for the purpos of nation registr airworthi transfer by act among live person constitut of mortgag public and gener registr
1006,1006,Law 7565/1986 - Brazilian Aeronautical Code,Art. 106 par 2,The civil aviation authority may establish exceptions to the registration referred to in § 1 of this article.,None,the civil aviat author may establish except to the registr refer to in § of thi articl
1007,1007,Law 7565/1986 - Brazilian Aeronautical Code,Art. 107 par 1,"Aircraft are classified as civil and military. Members of the Armed Forces are considered to be military personnel, including those requested by law for military missions (article 3, I).",None,aircraft are classifi a civil and militari member of the arm forc are consid to be militari personnel includ those request by law for militari mission articl i
1008,1008,Law 7565/1986 - Brazilian Aeronautical Code,Art. 107 par 2,Civil aircraft include public aircraft and private aircraft.,None,civil aircraft includ public aircraft and privat aircraft
1009,1009,Law 7565/1986 - Brazilian Aeronautical Code,Art. 107 par 3,"The public aircraft are those destined for the service of the Public Authorities, including those requisitioned as provided in law; all others are private aircraft.",None,the public aircraft are those destin for the servic of the public author includ those requisit a provid in law all other are privat aircraft
1010,1010,Law 7565/1986 - Brazilian Aeronautical Code,Art. 107 par 5,"Unless otherwise stated, the precepts of this Code do not apply to military aircraft, regulated by special legislation (article 14, § 6).",None,unless otherwis state the precept of thi code do not appli to militari aircraft regul by special legisl articl §
1011,1011,Law 7565/1986 - Brazilian Aeronautical Code,Art. 108,The aircraft is considered to have the nationality of the State where it is registered.,None,the aircraft is consid to have the nation of the state where it is regist
1012,1012,Law 7565/1986 - Brazilian Aeronautical Code,Art. 110,"The registration of an aircraft already registered in another state may be carried out by the new purchaser, by proving the transfer of ownership; or by the operator, by means of the express consent of the owner of the domain. Sole Paragraph. The owner's consent may be manifested, by means of a special mandate, in a clause of the respective aircraft utilization agreement, or in a separate document.",None,the registr of an aircraft alreadi regist in anoth state may be carri out by the new purchas by prove the transfer of ownership or by the oper by mean of the express consent of the owner of the domain sole paragraph the owner 's consent may be manifest by mean of a special mandat in a claus of the respect aircraft util agreement or in a separ document
1013,1013,Law 7565/1986 - Brazilian Aeronautical Code,Art. 111,"The enrollment will be provisional when: I - made by the explorer, user, lessee, promissory purchaser, or by whoever, being the possessor, does not own the
aircraft, but has the express mandate or consent of the holder of the aircraft domain; II - the seller reserves ownership of the aircraft until full payment of the price or until a certain condition is met, but expressly consents to the buyer's registration.",None,the enrol will be provision when i made by the explor user lesse promissori purchas or by whoever be the possessor doe not own the aircraft but ha the express mandat or consent of the holder of the aircraft domain ii the seller reserv ownership of the aircraft until full payment of the price or until a certain condit is met but expressli consent to the buyer 's registr
1014,1014,Law 7565/1986 - Brazilian Aeronautical Code,Art. 111 par 1,"The occurrence of a resolutive condition, established in the contract, leads to the cancellation of the enrollment, while the acquittal or the occurrence of a suspensive condition authorizes the definitive enrollment.",None,the occurr of a resolut condit establish in the contract lead to the cancel of the enrol while the acquitt or the occurr of a suspens condit author the definit enrol
1015,1015,Law 7565/1986 - Brazilian Aeronautical Code,Art. 111 par 2,"A forward sale and purchase agreement, provided the seller does not reserve the property to himself, gives rise to definitive registration definitive registration.",None,a forward sale and purchas agreement provid the seller doe not reserv the properti to himself give rise to definit registr definit registr
1016,1016,Law 7565/1986 - Brazilian Aeronautical Code,Art. 112,"Art. 112. The nationality and registration marks will be cancelled: I - at the request of the owner or exploiter when he must register it in another state, as long as there is no legal prohibition (article 75 and sole paragraph); II - ex officio when enrolled in another country; III - when the aircraft is abandoned or perished.",None,art the nation and registr mark will be cancel i at the request of the owner or exploit when he must regist it in anoth state a long a there is no legal prohibit articl and sole paragraph ii ex officio when enrol in anoth countri iii when the aircraft is abandon or perish
1017,1017,Law 7565/1986 - Brazilian Aeronautical Code,Art. 114 par 1,"No aircraft can be authorized to fly without the previous issuance of the corresponding airworthiness certificate, which will only be valid during the stipulated period and while complying with the mandatory conditions mentioned therein (articles 20 and 68, § 2). The requirements, conditions and proofs necessary to obtain or renew the certificate, as well as the validity period and cases of suspension or revocation.",None,no aircraft can be author to fli without the previou issuanc of the correspond airworthi certif which will onli be valid dure the stipul period and while compli with the mandatori condit mention therein articl and § the requir condit and proof necessari to obtain or renew the certif a well a the valid period and case of suspens or revoc
1018,1018,Law 7565/1986 - Brazilian Aeronautical Code,Art. 114 par 2,"Foreign airworthiness certificates that meet the requirements provided for in the regulation mentioned in the previous paragraph, and the internationally accepted conditions, may be validated.",None,foreign airworthi certif that meet the requir provid for in the regul mention in the previou paragraph and the intern accept condit may be valid
1019,1019,Law 7565/1986 - Brazilian Aeronautical Code,Art. 115,The ownership of the aircraft is acquired: I - by construction; II - by usucaption; III - by hereditary right; IV - by registration of the transfer title in the Brazilian Aeronautical Register; V - by legal transfer (articles 145 and 190).,None,the ownership of the aircraft is acquir i by construct ii by usucapt iii by hereditari right iv by registr of the transfer titl in the brazilian aeronaut regist v by legal transfer articl and
1020,1020,Law 7565/1986 - Brazilian Aeronautical Code,Art. 115 par 1,"In the transfer of the aircraft are always included, unless expressly stated otherwise, the engines, equipment and internal installations.",None,in the transfer of the aircraft are alway includ unless expressli state otherwis the engin equip and intern instal
1021,1021,Law 7565/1986 - Brazilian Aeronautical Code,Art. 115 par 2,"The titles that transfer the ownership of an aircraft, by an act between living persons, do not transfer its domain until the date they are registered in the Brazilian Aeronautical Register.",None,the titl that transfer the ownership of an aircraft by an act between live person do not transfer it domain until the date they are regist in the brazilian aeronaut regist
1022,1022,Law 7565/1986 - Brazilian Aeronautical Code,Art. 118,"The aircraft construction projects on behalf of the manufacturer himself, the construction contracts on behalf of whoever contracted it, and the respective mortgages may be registered with the Brazilian Aeronautical Registry.",None,the aircraft construct project on behalf of the manufactur himself the construct contract on behalf of whoever contract it and the respect mortgag may be regist with the brazilian aeronaut registri
1023,1023,Law 7565/1986 - Brazilian Aeronautical Code,Art. 120 par 1,"Aircraft ownership is lost by alienation, renunciation, abandonment, perishing, expropriation, and by the extinction causes foreseen by law. The aircraft or part thereof is abandoned when its legitimate origin cannot be determined, or when the owner expressly declares his intention to abandon it.",None,aircraft ownership is lost by alien renunci abandon perish expropri and by the extinct caus foreseen by law the aircraft or part thereof is abandon when it legitim origin can not be determin or when the owner expressli declar hi intent to abandon it
1024,1024,Law 7565/1986 - Brazilian Aeronautical Code,Art. 120 par 2,"The aircraft is considered to have perished when it is verified that it is impossible to recover it, or after more than 180 (one hundred and eighty) days have elapsed as from the date on which it received the last official notice.",None,the aircraft is consid to have perish when it is verifi that it is imposs to recov it or after more than one hundr and eighti day have elaps a from the date on which it receiv the last offici notic
1025,1025,Law 7565/1986 - Brazilian Aeronautical Code,Art. 120 par 3,"Once an administrative inquiry verifies the abandonment or perishing of the aircraft, the respective registration will be cancelled ex-officio.",None,onc an administr inquiri verifi the abandon or perish of the aircraft the respect registr will be cancel ex-officio
1026,1026,Law 7565/1986 - Brazilian Aeronautical Code,Art. 121,"The contract that aims to transfer the ownership of an aircraft or the constitution of a right in rem over it may be drawn up by public or private instrument. Sole paragraph. In the case of a contract made abroad, the provisions of article 73, item III, apply.",None,the contract that aim to transfer the ownership of an aircraft or the constitut of a right in rem over it may be drawn up by public or privat instrument sole paragraph in the case of a contract made abroad the provis of articl item iii appli
1027,1027,Law 7565/1986 - Brazilian Aeronautical Code,Art. 122,"An aircraft is exploited when an individual or legal entity, owner or not, uses it, legitimately, for its own account, with or without profit.",None,an aircraft is exploit when an individu or legal entiti owner or not use it legitim for it own account with or without profit
1028,1028,Law 7565/1986 - Brazilian Aeronautical Code,Art. 123,"An aircraft operator or explorer is considered to be I - the natural or legal person providing air services; II - the natural or legal person who uses aircraft, owned by him or another person, directly or through representatives, to carry out operations that do not constitute the provision of air services to third parties; III - the charterer who has reserved the aircraft's technical conduction, direction, and authority over the crew; IV - the lessee who has acquired the technical control of the leased aircraft and authority over the crew.",None,an aircraft oper or explor is consid to be i the natur or legal person provid air servic ii the natur or legal person who use aircraft own by him or anoth person directli or through repres to carri out oper that do not constitut the provis of air servic to third parti iii the charter who ha reserv the aircraft 's technic conduct direct and author over the crew iv the lesse who ha acquir the technic control of the lea aircraft and author over the crew
1029,1029,Law 7565/1986 - Brazilian Aeronautical Code,Art. 124 par 1,"When the name of the operator is registered in the Brazilian Aeronautical Register, by means of any contract of use, the owner of the aircraft is excluded from the responsibility inherent to its exploitation. The owner of the aircraft will be considered the operator, until proven otherwise, if his name is not on the BrazilianAeronautical Registry.",None,when the name of the oper is regist in the brazilian aeronaut regist by mean of ani contract of use the owner of the aircraft is exclud from the respons inher to it exploit the owner of the aircraft will be consid the oper until proven otherwis if hi name is not on the brazilianaeronaut registri
1030,1030,Law 7565/1986 - Brazilian Aeronautical Code,Art. 124 par 2,"If it is proven, in the case of the previous paragraph, that there was an operator, although his name was not registered in the Brazilian Aeronautical Registry, the operator and the owner will be jointly liable for any infraction or damage resulting from the operation of the aircraft.",None,if it is proven in the case of the previou paragraph that there wa an oper although hi name wa not regist in the brazilian aeronaut registri the oper and the owner will be jointli liabl for ani infract or damag result from the oper of the aircraft
1031,1031,Law 7565/1986 - Brazilian Aeronautical Code,Art. 126,"The contracting party that ordered the construction of the aircraft, once his contract is registered with the Brazilian Aeronautical Registry, acquires, originally, the ownership of the aircraft, being able to dispose of it and reclaim it from whoever unjustly possesses it.",None,the contract parti that order the construct of the aircraft onc hi contract is regist with the brazilian aeronaut registri acquir origin the ownership of the aircraft be abl to dispos of it and reclaim it from whoever unjustli posse it
1032,1032,Law 7565/1986 - Brazilian Aeronautical Code,Art. 127,"A lease is granted when one of the parties agrees to assign to the other, for a determined period of time, the use and enjoyment of an aircraft or its engines, in exchange for a certain amount of compensation.",None,a lea is grant when one of the parti agre to assign to the other for a determin period of time the use and enjoy of an aircraft or it engin in exchang for a certain amount of compens
1033,1033,Law 7565/1986 - Brazilian Aeronautical Code,Art. 128,The aircraft leasing agreement will be made by public or private instrument and will be registered with the Brazilian Aeronautical Registry.,None,the aircraft lea agreement will be made by public or privat instrument and will be regist with the brazilian aeronaut registri
1034,1034,Law 7565/1986 - Brazilian Aeronautical Code,Art. 129,"The lessor is obligated I - to deliver to the lessee the aircraft or the engine, at the agreed time and place, with the necessary documentation for the flight, in conditions to serve the use for which one or the other is intended, and to keep them in that condition, for the duration of the contract, unless otherwise expressly agreed; II - to guarantee, for the duration of the contract, the peaceful use of the aircraft or engine. Sole Paragraph. The lessor may also be obligated to deliver the aircraft equipped and manned, provided that the lessee is in charge of the direction and technical guidance.",None,the lessor is oblig i to deliv to the lesse the aircraft or the engin at the agre time and place with the necessari document for the flight in condit to serv the use for which one or the other is intend and to keep them in that condit for the durat of the contract unless otherwis expressli agre ii to guarante for the durat of the contract the peac use of the aircraft or engin sole paragraph the lessor may also be oblig to deliv the aircraft equip and man provid that the lesse is in charg of the direct and technic guidanc
1035,1035,Law 7565/1986 - Brazilian Aeronautical Code,Art. 130,"Art. 130. The lessee is obliged I - to use the leased thing for the agreed upon purpose and to take care of it as if it were his own; II - to pay, punctually, the rent, in the agreed upon time, place and conditions; III - to return to lessor the leased item in the condition in which it was received, with the exception of natural wear and tear resulting from regular use.",None,art the lesse is oblig i to use the lea thing for the agre upon purpos and to take care of it a if it were hi own ii to pay punctual the rent in the agre upon time place and condit iii to return to lessor the lea item in the condit in which it wa receiv with the except of natur wear and tear result from regular use
1036,1036,Law 7565/1986 - Brazilian Aeronautical Code,Art. 131,"Assignment of lease and sublease may only be carried out by written contract, with the express consent of the lessor and registration with the Brazilian Aeronautical Registry.",None,assign of lea and subleas may onli be carri out by written contract with the express consent of the lessor and registr with the brazilian aeronaut registri
1037,1037,Law 7565/1986 - Brazilian Aeronautical Code,Art. 132,"Failure to register the lease or sublease agreement determines that the lessor, the lessee and the sublessee, if any, are liable for damages and losses caused by the aircraft.",None,failur to regist the lea or subleas agreement determin that the lessor the lesse and the sublesse if ani are liabl for damag and loss caus by the aircraft
1038,1038,Law 7565/1986 - Brazilian Aeronautical Code,Art. 133,"Chartering occurs when one of the parties, called the charterer, binds itself to the other, called the charterer, upon payment by the latter of the freight, to perform one or more pre-established trips or during a certain period of time, with the charterer having control over the crew and the technical conduction of the aircraft.",None,charter occur when one of the parti call the charter bind itself to the other call the charter upon payment by the latter of the freight to perform one or more pre-establish trip or dure a certain period of time with the charter have control over the crew and the technic conduct of the aircraft
1039,1039,Law 7565/1986 - Brazilian Aeronautical Code,Art. 134,"The contract will be by public or private instrument, with the option to register it with the Brazilian Aeronautical Registry (articles 123 and 124).",None,the contract will be by public or privat instrument with the option to regist it with the brazilian aeronaut registri articl and
1040,1040,Law 7565/1986 - Brazilian Aeronautical Code,Art. 135,"The charterer is obligated I - to make available to the charterer equipped and manned aircraft, with the necessary documents and in an airworthy condition; II - to perform the agreed trips or to keep the aircraft at the charterer's disposal during the agreed time.",None,the charter is oblig i to make avail to the charter equip and man aircraft with the necessari document and in an airworthi condit ii to perform the agre trip or to keep the aircraft at the charter 's dispos dure the agre time
1041,1041,Law 7565/1986 - Brazilian Aeronautical Code,Art. 136,"The charterer is obligated I - to limit the use of the aircraft to the use for which it was contracted and according to the terms of the contract; II - to pay the freight at the agreed place, time and conditions.",None,the charter is oblig i to limit the use of the aircraft to the use for which it wa contract and accord to the term of the contract ii to pay the freight at the agre place time and condit
1042,1042,Law 7565/1986 - Brazilian Aeronautical Code,Art. 138 par 1,"Aircraft, engines, aircraft parts and accessories, including those under construction, may be the object of mortgages. The aircraft registered and provisionally enrolled cannot be the object of mortgage until the definitive registration is carried out, unless it is to guarantee the contract based on which the provisional registration was made.",None,aircraft engin aircraft part and accessori includ those under construct may be the object of mortgag the aircraft regist and provision enrol can not be the object of mortgag until the definit registr is carri out unless it is to guarante the contract base on which the provision registr wa made
1043,1043,Law 7565/1986 - Brazilian Aeronautical Code,Art. 138 par 2,"The reference to aircraft, without reservation, includes all equipment, engines, installations and accessories, included in the respective registration and airworthiness certificates.",None,the refer to aircraft without reserv includ all equip engin instal and accessori includ in the respect registr and airworthi certif
1044,1044,Law 7565/1986 - Brazilian Aeronautical Code,Art. 138 par 3,"In case of incidence on engines, these must be registered and individualized in the Brazilian Aeronautical Registry, upon registration of the mortgage, and the mortgage will be effective even if they are equipping the mortgaged aircraft to a different creditor, except if the respective contracts contain a clause allowing for engine rotation.",None,in case of incid on engin these must be regist and individu in the brazilian aeronaut registri upon registr of the mortgag and the mortgag will be effect even if they are equip the mortgag aircraft to a differ creditor except if the respect contract contain a claus allow for engin rotat
1045,1045,Law 7565/1986 - Brazilian Aeronautical Code,Art. 138 par 4,"Once the construction is concluded, the mortgage will extend to the aircraft if it is over all the components; but it will continue to cover only the individual engines and equipment, if the guarantee is only over them.",None,onc the construct is conclud the mortgag will extend to the aircraft if it is over all the compon but it will continu to cover onli the individu engin and equip if the guarante is onli over them
1046,1046,Law 7565/1986 - Brazilian Aeronautical Code,Art. 138 par 5,"During the contract, the creditor may inspect the condition of the assets, object of the mortgage.",None,dure the contract the creditor may inspect the condit of the asset object of the mortgag
1047,1047,Law 7565/1986 - Brazilian Aeronautical Code,Art. 139,"Only he who can alienate the aircraft may mortgage it, and only the aircraft that can be alienated may be given in mortgage.",None,onli he who can alien the aircraft may mortgag it and onli the aircraft that can be alien may be given in mortgag
1048,1048,Law 7565/1986 - Brazilian Aeronautical Code,Art. 140,Aircraft common to 2 (two) or more owners can only be mortgaged with the express consent of all the joint owners.,None,aircraft common to two or more owner can onli be mortgag with the express consent of all the joint owner
1049,1049,Law 7565/1986 - Brazilian Aeronautical Code,Art. 141,The mortgage will be constituted by registration of the contract with the Brazilian Aeronautical Registry and with an entry on the respective registration certificate.,None,the mortgag will be constitut by registr of the contract with the brazilian aeronaut registri and with an entri on the respect registr certif
1050,1050,Law 7565/1986 - Brazilian Aeronautical Code,Art. 142,"The mortgage contract must contain I - the name and domicile of the contracting parties; II - the amount of the guaranteed debt, the respective interest and other legal consequences, the term and place of payment; III - the nationality and registration marks of the aircraft, as well as the serial numbers of its component parts; IV - the insurance that guarantees the mortgaged property.",None,the mortgag contract must contain i the name and domicil of the contract parti ii the amount of the guarante debt the respect interest and other legal consequ the term and place of payment iii the nation and registr mark of the aircraft a well a the serial number of it compon part iv the insur that guarante the mortgag properti
1051,1051,Law 7565/1986 - Brazilian Aeronautical Code,Art. 142 par 1,"When the aircraft is under construction, the instrument must contain a description in accordance with the contract, as well as the manufacturing stage, if the mortgage is over all the components; or the individualization of the parts and accessories if the guarantee is over them.",None,when the aircraft is under construct the instrument must contain a descript in accord with the contract a well a the manufactur stage if the mortgag is over all the compon or the individu of the part and accessori if the guarante is over them
1052,1052,Law 7565/1986 - Brazilian Aeronautical Code,Art. 142 par 2,"In the case of a mortgage contract executed abroad, the indications provided for in article 73, item III, must be observed.",None,in the case of a mortgag contract execut abroad the indic provid for in articl item iii must be observ
1053,1053,Law 7565/1986 - Brazilian Aeronautical Code,Art. 143,"Air mortgage credit takes precedence over any other, with the exception of those resulting from: I - judicial expenses, labor and tax credits, and airport fees; II - expenses for rescue services; expenses incurred by the aircraft commander, in the performance of his duties, when indispensable to the continuation of the flight; and expenses incurred for the maintenance of the aircraft. Sole paragraph. Preference will be exercised: a) in the case of loss or damage to the aircraft, on the insurance value; b) in case of destruction or unusability, on the value of the recovered materials or indemnifications received from
third parties; c) in the case of expropriation, on the value of the indemnification.",None,air mortgag credit take preced over ani other with the except of those result from i judici expens labor and tax credit and airport fee ii expens for rescu servic expens incur by the aircraft command in the perform of hi duti when indispens to the continu of the flight and expens incur for the mainten of the aircraft sole paragraph prefer will be exercis a in the case of loss or damag to the aircraft on the insur valu b in case of destruct or unus on the valu of the recov materi or indemnif receiv from third parti c in the case of expropri on the valu of the indemnif
1054,1054,Law 7565/1986 - Brazilian Aeronautical Code,Art. 144,"A legal mortgage will be given in favor of the Federal Government on aircraft, parts and equipment acquired abroad with endorsement, guarantee or any other guaranty from the National Treasury or its financial agents.",None,a legal mortgag will be given in favor of the feder govern on aircraft part and equip acquir abroad with endors guarante or ani other guaranti from the nation treasuri or it financi agent
1055,1055,Law 7565/1986 - Brazilian Aeronautical Code,Art. 145,"The assets mentioned in the previous article will be adjudicated to the Union, if it so requests in the Federal Court, proving: I - bankruptcy, insolvency, judicial or extrajudicial liquidation, before the payment of the debt guaranteed by the National Treasury or its financial agents is completed; II - the occurrence of the facts foreseen in article 189, I and II of this Code.",None,the asset mention in the previou articl will be adjud to the union if it so request in the feder court prove i bankruptci insolv judici or extrajudici liquid befor the payment of the debt guarante by the nation treasuri or it financi agent is complet ii the occurr of the fact foreseen in articl i and ii of thi code
1056,1056,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 1,"The debt to be paid by the Federal Government or its financial agents, due or falling due, will be collected from the purchaser or bankrupt estate for the amounts spent at the time of payment. Foreign currency conversion, as the case may be, will be made at the exchange rate of the day, with due regard for the pertinent complementary legislation.",None,the debt to be paid by the feder govern or it financi agent due or fall due will be collect from the purchas or bankrupt estat for the amount spent at the time of payment foreign currenc convers a the case may be will be made at the exchang rate of the day with due regard for the pertin complementari legisl
1057,1057,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 2,The value of the aircraft awarded to the Union will be that of the date of said award.,None,the valu of the aircraft award to the union will be that of the date of said award
1058,1058,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 3,"The value of the aircraft awarded to the Union will be deducted from the amount of the credit provided for in this article, and the balance will be collected.",None,the valu of the aircraft award to the union will be deduct from the amount of the credit provid for in thi articl and the balanc will be collect
1059,1059,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 4,"If the value of the aircraft is greater than the sums spent or to be spent by the Federal Government or its financial agents, the latter may sell the referred aircraft at auction for the appraised value.",None,if the valu of the aircraft is greater than the sum spent or to be spent by the feder govern or it financi agent the latter may sell the refer aircraft at auction for the apprais valu
1060,1060,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 5,"The amounts spent or to be spent shall be paid with the price obtained, and the balance shall be deposited, as the case may be, in favor of the bankrupt estate or liquidator.",None,the amount spent or to be spent shall be paid with the price obtain and the balanc shall be deposit a the case may be in favor of the bankrupt estat or liquid
1061,1061,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 6,"If the first auction does not reach a bid higher than or equal to the appraisal, a new conditional auction will be held on the same day for the highest price.",None,if the first auction doe not reach a bid higher than or equal to the apprais a new condit auction will be held on the same day for the highest price
1062,1062,Law 7565/1986 - Brazilian Aeronautical Code,Art. 146 par 7,"If the price reached at the auction is not higher than the Union's claim, the Union may choose to adjudicate to its please.",None,if the price reach at the auction is not higher than the union 's claim the union may choos to adjud to it plea
